	Uid	Pid	recommendor_value	used_before_flag	row_count_new	row_count_overall
57	U-102	33	0.5825945064045183	1	12	18
58	U-102	7	0.5636982375216827	0	7	19
59	U-102	14	0.5151178029206019	0	8	20
60	U-102	39	0.4705386240710442	0	9	21
61	U-102	22	0.41535587508229327	0	10	22
62	U-102	18	0.38027131128191316	0	11	23
63	U-102	29	0.34136057066536757	1	13	24
64	U-102	36	0.3223177384388281	0	12	25
65	U-102	38	0.2850317783075079	1	14	26
66	U-102	15	0.2110968580203743	0	13	27
67	U-102	8	0.21056750816531244	0	14	28
68	U-102	12	0.15829827590912476	1	15	29
69	U-102	21	0.13759260706476767	0	15	30
70	U-102	23	0.08302875766504686	0	16	31
71	U-102	1	-0.058145902722425924	0	17	32
72	U-102	24	-0.09641855595977	0	18	33
73	U-102	37	-0.10943287907240073	0	19	34
74	U-102	6	-0.13137619350970164	0	20	35
75	U-102	10	-0.15802480671126484	0	21	36
76	U-102	3	-0.16358135093129744	0	22	37
77	U-102	27	-0.16600463893793393	0	23	38
78	U-102	28	-0.2406089473228693	0	24	39
79	U-102	26	-0.40825325878467367	0	25	40
80	U-103	31	0.7033834824839102	1	1	1
81	U-103	19	0.6920711499312873	1	2	2
82	U-103	8	0.6526363529036686	1	3	3
83	U-103	22	0.6402179325588169	1	4	4
84	U-103	34	0.6272801410940392	1	5	5
85	U-103	5	0.6083547445522162	0	1	6
86	U-103	20	0.49067551174416063	1	6	7
87	U-103	12	0.4866089377261786	0	2	8
88	U-103	17	0.42893855794153407	0	3	9
89	U-103	13	0.4177120681894008	1	7	10
90	U-103	15	0.39259830086032993	0	4	11
91	U-103	35	0.3457436890493094	0	5	12
92	U-103	9	0.28585191716328284	0	6	13
93	U-103	39	0.2466079987856409	0	7	14
94	U-103	32	0.22903912123655149	0	8	15
95	U-103	4	0.19143321556632836	0	9	16
96	U-103	29	0.1841722719174216	0	10	17
97	U-103	38	0.12794540919557845	0	11	18
98	U-103	36	0.11969073180107268	0	12	19
99	U-103	16	0.0875785799435362	0	13	20
100	U-103	2	0.07444257031543158	0	14	21
101	U-103	26	0.07242216553802336	0	15	22
102	U-103	21	0.06291250879927801	0	16	23
103	U-103	14	0.06211364074170231	0	17	24
104	U-103	10	0.040919269490654	0	18	25
105	U-103	25	0.016146010505499325	0	19	26
106	U-103	18	-8.844939318730649e-05	0	20	27
107	U-103	37	-0.012440829525220715	0	21	28
108	U-103	28	-0.01631723148213793	0	22	29
109	U-103	11	-0.02156274356948032	0	23	30
110	U-103	23	-0.028733584750616825	0	24	31
111	U-103	40	-0.036787311658900895	0	25	32
112	U-103	6	-0.056391404331043726	0	26	33
113	U-103	24	-0.08877690654955228	0	27	34
114	U-103	1	-0.10084467883770148	0	28	35
115	U-103	3	-0.11261111133673479	0	29	36
116	U-103	30	-0.12870436964796894	0	30	37
117	U-103	27	-0.17833784131095315	0	31	38
118	U-103	33	-0.21164005743393638	0	32	39
119	U-103	7	-0.2942597602074168	0	33	40
120	U-104	24	2.055398862764501	1	1	1
121	U-104	38	1.4712438446532885	1	2	2
122	U-104	36	1.1475234348050334	1	3	3
123	U-104	8	1.0807366111991543	1	4	4
124	U-104	30	1.063781860726111	1	5	5
125	U-104	18	0.9885937210752622	1	6	6
126	U-104	12	0.9597918624419826	1	7	7
127	U-104	25	0.8600733435054604	1	8	8
128	U-104	9	0.8594257647406759	1	9	9
129	U-104	1	0.8215070795735722	1	10	10
130	U-104	14	0.8064341184693707	1	11	11
131	U-104	35	0.7459374636866686	1	12	12
132	U-104	28	0.7436937892472509	0	1	13
133	U-104	27	0.7103093537421765	1	13	14
134	U-104	20	0.7073397027726316	0	2	15
135	U-104	34	0.6963785904278752	1	14	16
136	U-104	39	0.66397427794772	1	15	17
137	U-104	17	0.6613951024841558	1	16	18
138	U-104	10	0.6163640379306276	0	3	19
139	U-104	4	0.5512739753658045	0	4	20
140	U-104	40	0.5335387067719373	1	17	21
141	U-104	31	0.522688957812435	0	5	22
142	U-104	3	0.5028291844893732	0	6	23
143	U-104	29	0.3954247177306076	1	18	24
144	U-104	33	0.35511297160014926	0	7	25
145	U-104	22	0.23463591293235025	0	8	26
146	U-104	15	0.22643612084566456	0	9	27
147	U-104	11	0.21927288199926787	0	10	28
148	U-104	6	0.2089855225187482	0	11	29
149	U-104	37	0.18086300294786528	0	12	30
150	U-104	32	0.16496909445536706	0	13	31
151	U-104	23	0.10803051273130371	0	14	32
152	U-104	2	0.07764291578366561	0	15	33
153	U-104	19	0.06231446412022318	0	16	34
154	U-104	13	0.03187836359366153	0	17	35
155	U-104	21	-0.012095489666957948	0	18	36
156	U-104	16	-0.013402396398173866	0	19	37
157	U-104	7	-0.13954768545137408	0	20	38
158	U-104	5	-0.24796000361453696	0	21	39
159	U-104	26	-0.6227945527608968	0	22	40
160	U-105	18	0.8672373165297794	1	1	1
161	U-105	3	0.8355882846891667	1	2	2
162	U-105	30	0.810815431809852	1	3	3
163	U-105	12	0.6913104209511843	1	4	4
164	U-105	8	0.6303116676784023	1	5	5
165	U-105	33	0.6103812577945783	0	1	6
166	U-105	24	0.49476422345713766	0	2	7
167	U-105	2	0.4378836784929418	0	3	8
168	U-105	14	0.4142996304025741	0	4	9
169	U-105	34	0.3714466214785148	0	5	10
170	U-105	1	0.35549333942977684	1	6	11
171	U-105	37	0.3202623310018566	0	6	12
172	U-105	26	0.3144889352221408	0	7	13
173	U-105	36	0.3127554207938317	0	8	14
174	U-105	17	0.29097625743287814	0	9	15
175	U-105	10	0.2891654944544483	0	10	16
176	U-105	19	0.27202508015021465	0	11	17
177	U-105	39	0.26171898797076926	0	12	18
178	U-105	21	0.255506958212699	1	7	19
179	U-105	32	0.22660859071540146	1	8	20
180	U-105	23	0.17889898480508598	0	13	21
181	U-105	5	0.14577541464370697	0	14	22
182	U-105	29	0.1438761810395653	0	15	23
183	U-105	13	0.14358421536574623	0	16	24
184	U-105	11	0.13226352936922364	0	17	25
185	U-105	16	0.1249183531407615	0	18	26
186	U-105	25	0.1216441363326017	0	19	27
